extraversion,satisfaction
6.076178297000807,2.695741143744129
4.841119384263191,4.180165469795733
4.6576273707319285,2.510563353853644
4.754633629627678,2.585487083588473
6.239889733714966,2.930129575916317
6.836866640330372,4.038256083994506
5.270248820002805,4.1392073562448495
3.8970181412598306,2.241636706703799
5.822313422593239,2.746246832884658
2.785782739822386,2.6474112122199447
4.790890582622971,2.909294485532448
4.192038141344522,3.1489035188228254
5.761077451094083,3.3451555756642124
4.1618832338451,2.4162670653023524
2.5464575832355076,2.403544083637472
4.113688197402814,2.6798081413425843
3.6368486938862374,3.0771018953116083
4.489745606749105,3.4644000073752617
4.180997250377079,3.30962250132597
3.113218450983897,2.5655675949154553
5.964480917103254,2.4855868742234777
3.4270851290411573,1.8322062493737916
3.0813927511038557,2.566225209181076
4.377742177855026,2.84385115849976
4.769160497572907,2.5473648014819856
2.47707914721641,2.108709989057327
4.74104997926903,3.4454311756768674
5.651801919510724,3.1026892552916965
3.1249432459669393,2.391291414561307
4.926459312824576,3.8361117645140017
4.374844599704081,3.5528756704174063
3.4702317765380197,2.6006890884228935
5.425304413204889,2.4556703867485625
4.210910928667137,3.7299107864455343
6.371693019547955,3.3433340398572113
5.725452860121122,3.4378924837641165
4.824464997282065,1.6995168694198617
1.5752316645315076,2.7450949051864137
3.9193565718596464,2.8181380847521558
4.236323262522012,1.2150861422911712
2.4647859491170263,2.189986418959088
3.5042680166540383,2.3469550603432565
3.4495779619909994,1.7012077351025643
5.818805840575205,3.7876167063764195
4.31689208719483,3.394646496560722
4.583181944700801,4.487583436332394
5.432654798483475,4.19174442183207
4.656589943278211,2.934098535129074
4.081901966032032,3.0286475410324853
5.43497132922647,2.7559640315334493
5.864295643617854,3.3436418741882434
4.562091317264079,3.3127065048883795
4.977570886596665,3.63861661744772
4.261943333561493,3.8355672221855124
4.171426923267855,2.6834312762590353
3.7703397642915744,2.6939455882253345
4.594143624487179,3.9587094860989067
5.820369856273441,3.5158677712188555
3.0601934010430907,2.5772448165603365
5.81808901706915,4.412196599112205
4.473865429274392,3.6658486511910837
3.6809320337803095,3.313449854156973
3.773383289722325,2.1691021111366613
3.196054877008126,3.4240954965985306
4.762945047842177,3.2147866227992417
4.723218455427694,2.45425430556506
4.10804269797132,2.0534989230064538
3.6895743084163013,2.4151265690197916
4.9621040928541404,2.2907746205099606
4.796599973128118,4.106264775347703
4.212735797480763,3.371675037287529
6.043635326731391,2.3562897957690123
5.257805234802037,3.5280763273390034
4.9562648393869155,3.1272098860602444
5.490443263351232,3.220660298215936
3.1224027676219412,2.6754922057927315
5.143414209433676,3.300614019579131
2.9993809302568493,2.957923651128351
4.366811003730452,2.4387359639136035
3.115591902922618,2.599977212909603
4.887180305711465,2.797699355431062
4.197543883466612,3.230708017981091
4.247138577983831,3.970309647613973
4.80543041313065,3.64044143431662
4.00936086993784,4.038248058306472
5.318589560726933,2.7894517380865116
3.4390895393817313,3.5108652396298012
3.4878154281653755,2.527777646952137
4.91163734570005,3.362104544534443
4.244913883791421,3.1518441676697666
4.520094660075073,3.2054158567486755
2.9223667403527855,3.014025936552449
4.659699925150469,3.324151167065347
1.0565693883162646,3.5300990170280433
4.618628126362182,3.111918505004133
4.379591221528273,1.9570117753555263
4.844116837176781,3.4317698944974073
5.071316307619668,2.7782733135613413
4.505621059238795,3.4553706156207387
3.9102483382777864,2.2071106098358415
